Id,Title,Abstract,Author,Year,Venue,Search_Strings,DOI
1,Harnessing Large Language Models for Automated Software Testing: A Leap Towards Scalable Test Case Generation,"Software testing is critical for ensuring software reliability, with test case generation often being resource-intensive and time-consuming. This study leverages the Llama-2 large language model (LLM) to automate unit test generation for Java focal methods, demonstrating the potential of AI-driven approaches to optimize software testing workflows. Our work leverages focal methods to prioritize critical components of the code to produce more context-sensitive and scalable test cases. The dataset, comprising 25,000 curated records, underwent tokenization and QLoRA quantization to facilitate training. The model was fine-tuned, achieving a training loss of 0.046. These results show the promise of AI-driven test case generation and underscore the feasibility of using fine-tuned LLMs for test case generation, highlighting opportunities for improvement through larger datasets, advanced hyperparameter optimization, and enhanced computational resources. We conducted a human-in-the-loop validation on a subset of unit tests generated by our fined-tuned LLM. This confirms that these tests effectively leverage focal methods, demonstrating the model’s capability to generate more contextually accurate unit tests. The work suggests the need to develop novel validation objective metrics specifically tailored for the automation of test cases generated by utilizing large language models. This work establishes a foundation for scalable and efficient software testing solutions driven by artificial intelligence. The data and code are publicly available on GitHub.",S. C. Rehan|Baidaa Al-Bander|Amro Al-Said Ahmad,2025,Electronics,String A,https://doi.org/10.3390/electronics14071463
2,Large Language Models for Automated Web-Form-Test Generation: An Empirical Study,,Tao Li|Chenhui Cui|Rubing Huang|Dave Towey|Lei Ma,2025,ACM Transactions on Software Engineering and Methodology,String A,https://doi.org/10.1145/3735553
3,STRUT: Structured Seed Case Guided Unit Test Generation for C Programs using LLMs,,Jinwei Liu|Li Chao|Rui Chen|Shaofeng Li|Bin Gu|Mengfei Yang,2025,Proceedings of the ACM on software engineering.,String A,https://doi.org/10.1145/3728970
4,LLM4TDG: test-driven generation of large language models based on enhanced constraint reasoning,"Abstract With the evolution of modern software development paradigms, component reuse, and low-code approaches have emerged as mainstream in software development. However, developers often lack an in-depth understanding of reused code. The inability of components to operate autonomously leads to insufficient testing of software functionalities and security, further exacerbating the contradiction between the increasing complexity of software architectures and the demand for accurate and efficient software automation testing. This, in turn, increases the frequency of software supply chain security incidents. This paper proposes a test-driven generation framework, LLM4TDG, based on large language models (LLMs). By formally defining the constraint dependency graph and converting it into context constraints, LLMs’ ability to understand natural language descriptions such as test requirements and documents is enhanced. Constraint reasoning and backtracking mechanisms are then used to generate test drivers that satisfy the defined constraints automatically. Using the EvalPlus dataset, we evaluate the comprehensive capabilities of LLM4TDG in test case generation using four general-domain LLMs and five code-generation-domain LLMs. The experimental results indicate that our approach significantly enhances LLMs’ ability to comprehend constraints in testing objectives, achieving a 47.62% increase in constraint understanding across 147 testing tasks. Employing LLM4TDG significantly improves the average pass@k metric of all LLMs by 10.41%. The pass@k metric for CodeQwen-chat has improved by up to 18.66%. The metric surpasses the state-of-the-art GPT-4, with a performance of 92.16% on HUMANEVAL and 87.14% on HUMANEVAL+, which enhances the error correction and functional correctness in test-driven code generation. Meanwhile, Our experiments were conducted on a dataset of Python third-party libraries containing malicious behavior in the context of security testing tasks, validating the effectiveness of our method in real-world applications and its generalization capabilities.",Jingqiang Liu|Ruigang Liang|Xinran Zhu|Yue Zhang|Yuling Liu|Qixu Liu,2025,Cybersecurity,String A,https://doi.org/10.1186/s42400-024-00335-4
5,<scp>CITYWALK</scp> : Enhancing LLM-Based C++ Unit Test Generation via Project-Dependency Awareness and Language-Specific Knowledge,"Unit testing plays a pivotal role in the software development lifecycle, as it ensures code quality. However, writing high-quality unit tests remains a time-consuming task for developers in practice. More recently, the application of large language models (LLMs) in automated unit test generation has demonstrated promising results. Existing approaches primarily focus on interpreted programming languages (e.g., Java), while mature solutions tailored to compiled programming languages like C++ are yet to be explored. The intricate language features of C++, such as pointers, templates, and virtual functions, pose particular challenges for LLMs in generating both executable and high-coverage unit tests. To tackle the aforementioned problems, this article introduces CITYWALK , a novel LLM-based framework for C++ unit test generation. CITYWALK enhances LLMs by providing a comprehensive understanding of the dependency relationships within the project under test via program analysis. Furthermore, CITYWALK incorporates language-specific knowledge about C++ derived from project documentation and empirical observations, significantly improving the correctness of the LLM-generated unit tests. We implement CITYWALK by employing the widely popular LLM GPT-4o. The experimental results show that CITYWALK outperforms current state-of-the-art approaches on a collection of ten popular C++ projects. Our findings demonstrate the effectiveness of CITYWALK in generating high-quality C++ unit tests.",Yuwei Zhang|Qingyuan Lu|Kai Liu|Wensheng Dou|Jiaxin Zhu|Qian Li|Chunzi Zhang|Zheng Lin|Jun Wei,2025,ACM Transactions on Software Engineering and Methodology,String A,https://doi.org/10.1145/3763791
6,Automated Test Generation Using Large Language Models,"This study explores the potential of generative AI, specifically Large Language Models (LLMs), in automating unit test generation in Python 3.13. We analyze tests, both those created by programmers and those generated by LLM models, for fifty source code cases. Our main focus is on how the choice of model, the difficulty of the source code, and the prompting strategy influence the quality of the generated tests. The results show that AI models can help automate test creation for simple code, but their effectiveness decreases for more complex tasks. We introduce an embedding-based similarity analysis to assess how closely AI-generated tests resemble human-written ones, revealing that AI outputs often lack semantic diversity. The study also highlights the potential of AI models for rapid test prototyping, which can significantly speed up the software development cycle. However, further customization and training of the models on specific use cases is needed to achieve greater precision. Our findings provide practical insights into integrating LLMs into software testing workflows and emphasize the importance of prompt design and model selection.",Marcin Andrzejewski|Nina Dubicka|Jedrzej Podolak|Marek Kowal|Jakub Silka,2025,Data,String A,https://doi.org/10.3390/data10100156
7,A Retrospective on Whole Test Suite Generation: On the Role of SBST in the Age of LLMs,,Gordon Fraser|Andrea Arcuri,2025,IEEE Transactions on Software Engineering,String A,https://doi.org/10.1109/tse.2025.3539458
8,Design and evaluation of ChatGPT-MWPS: an AI-enhanced learning system for improving primary students’ mathematical word problem solving,"Abstract Mathematical word problem solving is a fundamental aspect of primary mathematics education, yet students often struggle with translating textual descriptions into structured mathematical representations. In response to this challenge, this study introduces and evaluates ChatGPT-MWPS, an AI-enhanced learning system designed to support fifth-grade students in developing mathematical problem-solving skills through adaptive scaffolding and real-time, step-by-step feedback. Built on a Java-based framework and incorporating OpenAI’s generative AI technology, the system interprets problem content and delivers personalized solution guidance within a digital test paper environment. It supports key instructional functions, such as batch question import, automated test generation, and user management, enabling flexible application in both classroom and self-directed learning settings. A quasi-experimental design was employed with 52 fifth-grade participants to assess the system’s usability and potential educational effectiveness. System perofrmance was measured using a standardized usability scale with 13 dimensions . Results demonstrate that ChatGPT-MWPS achieved favorable usability ratings across the measured dimensions, with particularly strong performance in system reliability, information quality, and cognitive engagement. These findings establish the system's potential for enhancing mathematical learning experiences through its well-received usability characteristics and functional effectiveness. This research contributes to the growing domain of AI in education by demonstrating how generative AI can facilitate personalized mathematics instruction in primary school settings. The outcomes provide practical implications for the design of intelligent tutoring systems that aim to enhance mathematical reasoning and promote learner autonomy.",Jingxi Liu|Therese Keane|Daner Sun|Yuqin Yang|Yin Yang,2025,Smart Learning Environments,String A,https://doi.org/10.1186/s40561-025-00419-9
9,LLM-enhanced evolutionary test generation for untyped languages,,Ruofan Yang|Xianghua Xu|Ran Wang,2025,Automated Software Engineering,String A,https://doi.org/10.1007/s10515-025-00496-7
10,Benchmarking LLMs for Unit Test Generation from Real-World Functions,,Dong Huang|Jie M. Zhang|Mark Harman|Q. Zhang|Mingzhe Du|See-Kiong Ng,2026,ACM Transactions on Software Engineering and Methodology,String A,https://doi.org/10.1145/3805043
11,Constructing a Dataset of Functionally Equivalent Python Methods Using Test Generation Techniques,"As one of the most widely used programming languages in modern software development, Python hosts a vast open-source codebase on GitHub, where code reuse is widespread. This study leverages open-source Python projects from GitHub and applies automated testing to discover pairs of functionally equivalent methods. We collected and processed methods from 5,100 Python repositories, but Python's lack of static type checking presented unique challenges for grouping these methods. To address this, we conducted detailed type inference and organized methods based on their inferred types, providing a structured foundation for subsequent analysis. We then employed automated test generation to produce unit tests for each method, running them against one another within their respective groups to identify candidate pairs that yielded identical outputs from the same inputs. Through manual verification, we ultimately identified 68 functionally equivalent method pairs and 683 functionally non-equivalent pairs. These pairs were compiled into a comprehensive dataset, serving as the basis for further examination. With this dataset, we not only evaluated the ability of large language models (LLMs) to recognize functional equivalence, evaluating both their accuracy and the challenges posed by diverse implementations, but also conducted a systematic performance evaluation of equivalent methods, measuring execution times and analyzing the underlying causes of efficiency differences. The findings demonstrate the potential of LLMs to identify functionally equivalent methods and highlight areas requiring further advancement.",Shiyu Yang|Yusheng GUO|Akihiro Tabata|Yoshiki Higo,2025,IEICE Transactions on Information and Systems,String A,https://doi.org/10.1587/transinf.2025edp7092
12,Hallucination to Consensus: Multi-Agent LLMs for End-to-End JUnit Test Generation,,Qinghua Xu|Guancheng Wang|Lionel Briand|Ke’nan Liu,2026,ACM Transactions on Software Engineering and Methodology,String A,https://doi.org/10.1145/3803418
13,An Empirical Evaluation of Using Large Language Models for Automated Unit Test Generation,,Max Schäfer|Sarah Nadi|Aryaz Eghbali|Frank Tip,2023,IEEE Transactions on Software Engineering,String B,https://doi.org/10.1109/tse.2023.3334955
14,Effective test generation using pre-trained Large Language Models and mutation testing,"One of the critical phases in the software development life cycle is software testing. Testing helps with identifying potential bugs and reducing maintenance costs. The goal of automated test generation tools is to ease the development of tests by suggesting efficient bug-revealing tests. Recently, researchers have leveraged Large Language Models (LLMs) of code to generate unit tests. While the code coverage of generated tests was usually assessed, the literature has acknowledged that the coverage is weakly correlated with the efficiency of tests in bug detection. To improve over this limitation, in this paper, we introduce MuTAP (Mutation Test case generation using Augmented Prompt) for improving the effectiveness of test cases generated by LLMs in terms of revealing bugs by leveraging mutation testing. Our goal is achieved by augmenting prompts with surviving mutants, as those mutants highlight the limitations of test cases in detecting bugs. MuTAP is capable of generating effective test cases in the absence of natural language descriptions of the Program Under Test (PUTs). We employ different LLMs within MuTAP and evaluate their performance on different benchmarks. Our results show that our proposed method is able to detect up to 28% more faulty human-written code snippets. Among these, 17% remained undetected by both the current state-of-the-art fully-automated test generation tool (i.e., Pynguin) and zero-shot/few-shot learning approaches on LLMs. Furthermore, MuTAP achieves a Mutation Score (MS) of 93.57% on synthetic buggy code, outperforming all other approaches in our evaluation. Our findings suggest that although LLMs can serve as a useful tool to generate test cases, they require specific post-processing steps to enhance the effectiveness of the generated test cases which may suffer from syntactic or functional errors and may be ineffective in detecting certain types of bugs and testing corner cases in PUTs.",Arghavan Moradi Dakhel|Amin Nikanjam|Vahid Majdinasab|Foutse Khomh|Michel C. Desmarais,2024,Information and Software Technology,String B,https://doi.org/10.1016/j.infsof.2024.107468
15,ChatGPT vs SBST: A Comparative Assessment of Unit Test Suite Generation,"Recent advancements in large language models (LLMs) have demonstrated exceptional success in a wide range of general domain tasks, such as question answering and following instructions. Moreover, LLMs have shown potential in various software engineering applications. In this study, we present a systematic comparison of test suites generated by the ChatGPT LLM and the state-of-the-art SBST tool EvoSuite. Our comparison is based on several critical factors, including correctness, readability, code coverage, and bug detection capability. By highlighting the strengths and weaknesses of LLMs (specifically ChatGPT) in generating unit test cases compared to EvoSuite, this work provides valuable insights into the performance of LLMs in solving software engineering problems. Overall, our findings underscore the potential of LLMs in software engineering and pave the way for further research in this area.",Yutian Tang|Zhijie Liu|Zhichao Zhou|Xiapu Luo,2024,IEEE Transactions on Software Engineering,String B,https://doi.org/10.1109/tse.2024.3382365
16,Enhancing large language models for text-to-testcase generation,,Saranya Alagarsamy|Chakkrit Tantithamthavorn|Wannita Takerngsaksiri|Chetan Arora|Aldeida Aleti,2025,Journal of Systems and Software,String B,https://doi.org/10.1016/j.jss.2025.112531
17,Enriching automatic test case generation by extracting relevant test inputs from bug reports,"Abstract The quality of software is closely tied to the effectiveness of the tests it undergoes. Manual test writing, though crucial for bug detection, is time-consuming, which has driven significant research into automated test case generation. However, current methods often struggle to generate relevant inputs, limiting the effectiveness of the tests produced. To address this, we introduce BRMiner , a novel approach that leverages Large Language Models (LLMs) in combination with traditional techniques to extract relevant inputs from bug reports, thereby enhancing automated test generation tools. In this study, we evaluate BRMiner using the Defects4J benchmark and test generation tools such as EvoSuite and Randoop. Our results demonstrate that BRMiner achieves a Relevant Input Rate (RIR) of 60.03% and a Relevant Input Extraction Accuracy Rate (RIEAR) of 31.71%, significantly outperforming methods that rely on LLMs alone. The integration of BRMiner’s input enhances EvoSuite ability to generate more effective test, leading to increased code coverage, with gains observed in branch, instruction, method, and line coverage across multiple projects. Furthermore, BRMiner facilitated the detection of 58 unique bugs, including those that were missed by traditional baseline approaches. Overall, BRMiner ’s combination of LLM filtering with traditional input extraction techniques significantly improves the relevance and effectiveness of automated test generation, advancing the detection of bugs and enhancing code coverage, thereby contributing to higher-quality software development.",Wendkűuni C. Ouédraogo|Laura Plein|Kader Kaboré|Andrew Habib|Jacques Klein|David Lo|Tegawendé F. Bissyandé,2025,Empirical Software Engineering,String B,https://doi.org/10.1007/s10664-025-10635-z
18,TestLoter: A logic-driven framework for automated unit test generation and error repair using large language models,,Ruofan Yang|Xianghua Xu|Ran Wang,2025,Journal of Computer Languages,String B,https://doi.org/10.1016/j.cola.2025.101348
19,"You Name It, I Run It: An LLM Agent to Execute Tests of Arbitrary Projects","The ability to execute the test suite of a project is essential in many scenarios, e.g., to assess code quality and code coverage, to validate code changes made by developers or automated tools, and to ensure compatibility with dependencies. Despite its importance, executing the test suite of a project can be challenging in practice because different projects use different programming languages, software ecosystems, build systems, testing frameworks, and other tools. These challenges make it difficult to create a reliable, universal test execution method that works across different projects. This paper presents ExecutionAgent, an automated technique that prepares scripts for building an arbitrary project from source code and running its test cases. Inspired by the way a human developer would address this task, our approach is a large language model (LLM)-based agent that autonomously executes commands and interacts with the host system. The agent uses meta-prompting to gather guidelines on the latest technologies related to the given project, and it iteratively refines its process based on feedback from the previous steps. Our evaluation applies ExecutionAgent to 50 open-source projects that use 14 different programming languages and many different build and testing tools. The approach successfully executes the test suites of 33/50 projects, while matching the test results of ground truth test suite executions with a deviation of only 7.5%. These results improve over the best previously available technique by 6.6x. The costs imposed by the approach are reasonable, with an execution time of 74 minutes and LLM costs of USD 0.16, on average per project. We envision ExecutionAgent to serve as a valuable tool for developers, automated programming tools, and researchers that need to execute tests across a wide variety of projects.",Islem Bouzenia|Michael Pradel,2025,Proceedings of the ACM on software engineering.,String B,https://doi.org/10.1145/3728922
20,Automated Unit Test Generation via Chain-of-Thought Prompt and Reinforcement Learning from Coverage Feedback,,Junwei Zhang|Xing Hu|Xin Xia|Shing-Chi Cheung|Shanping Li,2025,ACM Transactions on Software Engineering and Methodology,String B,https://doi.org/10.1145/3745765
21,Impact of code context and prompting strategies on automated unit test generation with modern general-purpose large language models,"• Docstring inclusion substantially improves test quality: +19.67pp branch coverage and +9.16pp compilation success compared to interface-only context, demonstrating that behavioural specifications are more critical than implementation details for effective test generation. • Sequential multi-turn prompting achieves superior fault detection (96.3% branch coverage, 57% mutation score) compared to simple prompting, though at 187% increased computational cost, revealing a significant cost-quality trade-off. • Gemini 2.5 Pro achieves 87% mutation score with full context — substantially exceeding both other LLMs and the 44% practitioner baseline — demonstrating that general-purpose LLMs can match or surpass human testers in fault detection for well-documented code. • All evaluated LLMs systematically omit robustness tests for special values ( None , inf , NaN ) — blind spots shared with human practitioners — indicating fundamental limitations in comprehensive scenario identification without explicit prompting. Generative AI is gaining increasing attention in software engineering, where testing remains an indispensable reliability mechanism. According to the widely adopted testing pyramid, unit tests constitute the majority of test cases and are often schematic, requiring minimal domain expertise. Automatically generating such tests under the supervision of software engineers can significantly enhance productivity during the development phase of the software lifecycle. This exploratory study investigates the impact of code context and prompting strategies on the quality and adequacy of unit tests generated by various large language models (LLMs) from different providers, using 12 custom-developed Python methods designed specifically to avoid data leakage concerns. The results show that including docstrings notably improves code adequacy, while further extending context to the full implementation yields smaller incremental gains. The sequential multi-turn prompting strategy achieves the best results, with up to 96.3% branch coverage, a 57% average mutation score, and near-perfect compilation success rate. Among the six evaluated models, M5 (Gemini 2.5 Pro) demonstrated superior performance in both mutation score and branch coverage, while maintaining high compilation success rates. Notably, LLM-generated tests achieved comparable or superior mutation scores compared to tests written by a software practitioner, though with varying degrees of test redundancy. While limited in scope, this study provides initial insights into optimal configurations for LLM-based test generation. All custom code developed for this study and the resulting test suites are available at https://github.com/peetery/LLM-analysis .",Jakub Walczak|Piotr Tomalak|Artur Laskowski,2026,Journal of Systems and Software,String B,https://doi.org/10.1016/j.jss.2026.112834
22,Evaluating the Test Adequacy of Benchmarks for LLMs on Code Generation,"ABSTRACT Code generation for users' intent has become increasingly prevalent with the large language models (LLMs). To automatically evaluate the effectiveness of these models, multiple execution-based benchmarks are proposed, including specially crafted tasks, accompanied by some test cases and a ground truth solution. LLMs are regarded as well-performed in code generation tasks if they can pass the test cases corresponding to most tasks in these benchmarks. However, it is unknown whether the test cases have sufficient test adequacy and whether the test adequacy can affect the evaluation. In this paper, we conducted an empirical study to evaluate the test adequacy of the execution-based benchmarks and to explore their effects during evaluation for LLMs. Based on the evaluation of the widely used benchmarks, HumanEval, MBPP, and two enhanced benchmarks HumanEval+ and MBPP+, we obtained the following results: (1) All the evaluated benchmarks have high statement coverage (above 99.16%), low branch coverage (74.39%) and low mutation score (87.69%). Especially for the tasks with higher cyclomatic complexities in the HumanEval and MBPP, the mutation score of test cases is lower. (2) No significant correlation exists between test adequacy (statement coverage, branch coverage and mutation score) of benchmarks and evaluating results on LLMs at the individual task level. (3) There is a significant positive correlation between mutation score-based evaluation and another execution-based evaluation metric () on LLMs at the individual task level. (4) The existing test case augmentation techniques have limited improvement in the coverage of test cases in the benchmark, while significantly improving the mutation score by approximately 34.60% and also can bring a more rigorous evaluation to LLMs on code generation. (5) The LLM-based test case generation technique (EvalPlus) performs better than the traditional search-based technique (Pynguin) in improving the benchmarks' test quality and evaluation ability of code generation.",Xiangyue Liu|Xiaobing Sun|Lili Bo|Yufei Hu|Xinwei Liu|Zhenlei Ye,2025,Journal of Software Evolution and Process,String B,https://doi.org/10.1002/smr.70034
23,Large Language Models for C Test Case Generation: A Comparative Analysis,"Software testing is a crucial yet time-consuming aspect of software development. Writing comprehensive unit tests that accurately verify whether a function or an entire program behaves as intended requires considerable effort from developers, particularly when handling numerous edge cases. This study explores how Large Language Models (LLMs) can streamline this process by automatically generating effective unit tests. We evaluate various LLMs on their capability to interpret problem specifications, analyze source code across multiple programming languages, and generate suitable test cases. The effectiveness of these test cases is assessed using the Pass@1 and line coverage metrics. Our findings reveal that LLMs perform significantly better when provided with both the problem description and the corresponding solution code, particularly in the C programming language. Additionally, we observe substantial performance improvements when example test cases are included in the prompt, leading to higher Pass@1 scores and enhanced code coverage, particularly with more advanced LLMs.",Alexandru Guzu|Georgian Nicolae|Horia Cucu|Corneliu Burileanu,2025,Electronics,String B,https://doi.org/10.3390/electronics14112284
24,UTFix: Change Aware Unit Test Repairing using LLM,"Software updates, including bug repair and feature additions, are frequent in modern applications but they often leave test suites outdated, resulting in undetected bugs and increased chances of system failures. A recent study by Meta revealed that 14%-22% of software failures stem from outdated tests that fail to reflect changes in the codebase. This highlights the need to keep tests in sync with code changes to ensure software reliability. In this paper, we present UTFix, a novel approach for repairing unit tests when their corresponding focal methods undergo changes. UTFix addresses two critical issues: assertion failure and reduced code coverage caused by changes in the focal method. Our approach leverages language models to repair unit tests by providing contextual information such as static code slices, dynamic code slices, and failure messages. We evaluate UTFix on our generated synthetic benchmarks (Tool-Bench), and real-world benchmarks. Tool- Bench includes diverse changes from popular open-source Python GitHub projects, where UTFix successfully repaired 89.2% of assertion failures and achieved 100% code coverage for 96 tests out of 369 tests. On the real-world benchmarks, UTFix repairs 60% of assertion failures while achieving 100% code coverage for 19 out of 30 unit tests. To the best of our knowledge, this is the first comprehensive study focused on unit test in evolving Python projects. Our contributions include the development of UTFix, the creation of Tool-Bench and real-world benchmarks, and the demonstration of the effectiveness of LLM-based methods in addressing unit test failures due to software evolution.",Shanto Rahman|Sachit Kuhar|Berk Çirisci|Pranav Garg|Shiqi Wang|Xiaofei Ma|Anoop Deoras|Baishakhi Ray,2025,Proceedings of the ACM on Programming Languages,String B,https://doi.org/10.1145/3720419
25,LTM: Scalable and Black-Box Similarity-Based Test Suite Minimization Based on Language Models,,Rongqi Pan|Taher A. Ghaleb|Lionel Briand,2024,IEEE Transactions on Software Engineering,String B,https://doi.org/10.1109/tse.2024.3469582
26,QAagent: A Multiagent System for Unit Test Generation via Natural Language Pseudocode (Student Abstract),"Unit testing is essential for ensuring software quality, but it is often time-consuming and prone to developer oversight. With the rise of large language models (LLMs) in code generation, there is an increasing need for reliable and automated test generation systems. This work presents QAagent, a multi-agent system designed to generate unit tests using natural language pseudocode. QAagent leverages LLMs to create a detailed natural language plan of a function's implementation and then generates a comprehensive suite of test cases covering both base and edge scenarios. Experiments conducted on two widely-used benchmarks, HumanEval and MBPP, show that QAagent consistently outperforms existing frameworks in terms of code coverage, although its accuracy varies across datasets, demonstrating the potential for utilizing natural language pseudocode to to enhance automated test generation in LLM-driven coding environments.",Annalisa Di Deo,2025,Proceedings of the AAAI Conference on Artificial Intelligence,String B,https://doi.org/10.1609/aaai.v39i28.35246
27,Less Is More: On the Importance of Data Quality for Unit Test Generation,"Unit testing is crucial for software development and maintenance. Effective unit testing ensures and improves software quality, but writing unit tests is time-consuming and labor-intensive. Recent studies have proposed deep learning (DL) techniques or large language models (LLMs) to automate unit test generation. These models are usually trained or fine-tuned on large-scale datasets. Despite growing awareness of the importance of data quality, there has been limited research on the quality of datasets used for test generation. To bridge this gap, we systematically examine the impact of noise on the performance of learning-based test generation models. We first apply the open card sorting method to analyze the most popular and largest test generation dataset, Methods2Test, to categorize eight distinct types of noise. Further, we conduct detailed interviews with 17 domain experts to validate and assess the importance, reasonableness, and correctness of the noise taxonomy. Then, we propose CleanTest, an automated noise-cleaning framework designed to improve the quality of test generation datasets. CleanTest comprises three filters: a rule-based syntax filter, a rule-based relevance filter, and a model-based coverage filter. To evaluate its effectiveness, we apply CleanTest on two widely-used test generation datasets, i.e., Methods2Test and Atlas. Our findings indicate that 43.52% and 29.65% of datasets contain noise, highlighting its prevalence. Finally, we conduct comparative experiments using four LLMs (i.e., CodeBERT, AthenaTest, StarCoder, and CodeLlama7B) to assess the impact of noise on test generation performance. The results show that filtering noise positively influences the test generation ability of the models. Fine-tuning the four LLMs with the filtered Methods2Test dataset, on average, improves its performance by 67% in branch coverage, using the Defects4J benchmark. For the Atlas dataset, the four LLMs improve branch coverage by 39%. Additionally, filtering noise improves bug detection performance, resulting in a 21.42% increase in bugs detected by the generated tests.",Junwei Zhang|Xing Hu|Shan Gao|Xin Xia|David Lo|Shanping Li,2025,Proceedings of the ACM on software engineering.,String B,https://doi.org/10.1145/3715778
