Id,Title,Abstract,Author,Year,Venue,Search_Strings,DOI
28,"AI-Powered Unit Test Generation via Multi-LLM Chaining: A Case Study With GPT-4o, Gemini, and Claude-3.5","Software testing is a critical activity in the software development cycle since it confirms code correctness, reliability, and maintainability. Unit testing, a cornerstone of software testing, involves verifying the correctness of individual components of a program. Manually writing these tests is a resource-intensive and time-consuming activity. Researchers have proposed various automated test generation methods to reduce the possibility of this problem. Large Language Models (LLMs) have demonstrated remarkable efficacy in automatically generating unit tests in recent years. Although a single LLM configuration can produce a satisfactory response, there are possible risks to the effectiveness of the generated tests, such as the repetition of specific test cases, the lack of edge case coverage, and the omission of full assertions. We present a novel method, LLM Chaining, that uses the collaboration of several LLMs, namely Gemini, GPT-4o, and Claude-3.5 Sonnet, to collaborate and iteratively enhance tests. We started by looking into a single LLM writing unit test, but after seeing how well they performed, we looked into LLM chaining as a way to increase the accuracy and comprehensiveness of the tests that were produced. Gemini and GPT-4o yielded the most reliable results of all the configurations we tested. Under this configuration, the LLM system uses Gemini to generate the initial JUnit tests, then sends the generated results to GPT-4o for assimilation of accuracy and depth. The HumanEval dataset was used to create JUnit test cases for this study. JaCoCo was used to collect coverage statistics, and PIT (Pitest) was used for mutation-based testing to gauge an LLM’s capacity to identify test flaws. With 99.05% branch coverage, 90.48% line coverage from 3508 test runs, and 94.32% mutation coverage, we achieved genuinely impressive results. In contrast, under the same circumstances, Randoop, a well-known automated test generation tool, obtained 68.64% branch coverage and 78.84% line coverage. This demonstrates how multi-step LLM refinement works well to advance automated test generation and, in the end, produce software that is more dependable and maintainable.",Chandan Kumar|Usha Sri Ponaka|Pula V Lakshmi Narasimha Naidu|P Bhuvaneswari|Mukesh Prasad|Sunil Kumar Singh,2025,IEEE Access,String B,https://doi.org/10.1109/access.2025.3637221
29,Reference-Based Retrieval-Augmented Unit Test Generation,,Zhe Zhang|Xingyu Liu|Yuanzhang Lin|Xiang Gao|Hailong Sun|Yuan Yuan,2025,ACM Transactions on Software Engineering and Methodology,String B,https://doi.org/10.1145/3765758
30,An MLLM-Assisted Web Crawler Approach for Web Application Fuzzing,"Web application fuzzing faces significant challenges in achieving comprehensive test interface (attack surface) coverage, primarily due to the complexity of user interactions and dynamic website architectures. While web crawlers can automatically access and extract critical website information—including form fields and request parameters—which are essential for generating effective fuzzing test cases, current crawler technologies exhibit three primary limitations: (i) insufficient capabilities in analyzing page relationships and determining page states; (ii) lack of functionality-aware exploration capabilities, resulting in generated inputs with poor contextual relevance; (iii) generation of unstructured operation sequences that fail to execute effectively due to their incompatibility with state-based testing logic. To address these challenges, we propose CrawlMLLM, a framework using multi-modal large language models to simulate human web browsing. It includes three core components: page state mining, functionality analysis, and automatic operation generation. Evaluations show 163% code coverage improvements over SOTA work. When integrated with vulnerability audit tools, CrawlMLLM found 44 vulnerabilities in three vulnerable web applications versus 34 by the baseline. In six real-world applications, CrawlMLLM detected 20 vulnerabilities while the next best method found six.",Wantong Yang|Enze Wang|Zhiwen Gui|Zhou Yuan|Baosheng Wang|Wei Xie,2025,Applied Sciences,String B,https://doi.org/10.3390/app15020962
31,Boosting unit test generation via structure-aware fine-tuning of pre-trained model,,Shaojian Qiu|Weibiao Chen|Haiyang Liu|Shaosheng Wang|Han Huang,2025,Information and Software Technology,String B,https://doi.org/10.1016/j.infsof.2025.107948
32,Beyond Coverage: Automatic Test Suite Augmentation for Enhanced Effectiveness using Large Language Models,"Large Language Models (LLMs) have gained significant traction in software engineering for automating tasks such as unit test generation. Most existing studies prioritize code coverage as the primary metric for enhancing test suite effectiveness. However, prior research has shown that although code coverage can reach approximately 80%, the mutation score, which generally exhibits a stronger correlation with defect detection effectiveness, attains only about 35%. This gap highlights the need to enhance test suite effectiveness guided by mutation score rather than code coverage. Recent studies, including MuTAP and MutGen, explored the use of survived mutants to enhance test suite effectiveness. However, their evaluations were limited to simple standalone methods that rely on built-in functions and standard libraries. Non-standalone methods, which depend on other classes and involve complex user-defined types, are more intricate and commonly found in real-world projects. The limited contextual information and basic repair mechanisms in their prompt designs make it unclear whether their performance can generalize to non-standalone methods. Moreover, the two studies rely on existing language-specific, rule-based mutation techniques, which require specific configurations and incur additional costs when adapting to other programming languages. To bridge this gap, we propose a novel, fully automatic LLM-based approach to enhance test suite effectiveness, guided by survived mutants. The approach augments initial test suites by integrating mutation testing with test case generation. It takes focal method information as input and generates test cases targeting survived mutants identified from applying the initial test suites. Our approach incorporates multiple prompt techniques, rich contextual information, and an advanced repair mechanism to effectively generate test cases for non-standalone methods. The evaluation covers 1,035 focal methods, categorized as standalone or non-standalone. On average, the mutation score increases by 16.04% for standalone methods and 8.11% for non-standalone methods. We validate the practical impact of augmented test suites in LLM-based code generation. After test suite augmentation, pass@1 decreased by 0.3152 and 0.1772 on average for standalone and non-standalone methods, respectively, indicating the effectiveness of our approach in reducing false positives caused by insufficient test cases in code generation evaluation.",Zeyu Lu|Peng Zhang|Yuge Nie|Yibiao Yang|Yutian Tang|Chun Yong Chong|Yuming Zhou,2026,Proceedings of the ACM on Programming Languages,String B,https://doi.org/10.1145/3798251
33,Boosting Test Generation in Industrial Codebases: A Comparative Study of Base and Fine-Tuned LLMs,"Large Language Models (LLMs) have demonstrated promising capabilities in automated software engineering tasks, particularly in test case generation. Recently, researchers and practitioners have actively explored using open-source datasets with both open-source and commercial LLMs for generating test cases from source code and related software artifacts. However, the effectiveness of (fine-tuned vs base) open-source LLMs in industrial settings remains under explored. This study investigates the performance of various fine-tuned and base configurations of the DeepSeek-Coder 33B model (i.e., base and instruct) for unit test generation in a large-scale industrial code-base. This study propose a two-loop refinement strategy: Loop 1 generates initial test cases, while Loop 2 refines failed cases based on compilation errors and code coverage feedback. Eight different LLM configurations were evaluated using compilation success rate and line coverage as performance metrics. Our findings reveal that fine-tuned models significantly outperform base models, and the proposed refinement strategy leads to measurable improvements in both test compilation and code coverage. The use of fine-tuned-instruct model in loop 1 and fine-tuned-instruct model in loop 2 yielded the highest line coverage (62.56%) and compilation success. This work demonstrates the value of domain-specific fine-tuning and multi-phase feedback strategies in enhancing LLM-powered software testing pipelines.",Azeem Ahmad|Muhammad Rashid Naeem,2026,IEEE Access,String B,https://doi.org/10.1109/access.2026.3690571
34,IGTG&amp;R: An Intent Analysis-Guided Unit Test Generation and Refinement Framework,"Code coverage-guided unit test generation (CGTG) and large language model-based test generation (LLMTG) are two principal approaches for the generation of unit tests. Each of these approaches has its inherent advantages and drawbacks. Tests generated by CGTG have been shown to exhibit high code coverage and high executability. However, they lack the capacity to comprehend code intent, which results in an inability to identify deviations between code implementation and design intent (i.e., functional defects). Conversely, although LLMTG demonstrates an advantage in terms of code intent analysis, it is generally characterized by low executability and necessitates iterative debugging. In order to enhance the ability of unit test generation to identify functional defects, a novel framework has been proposed, entitled the intent analysis-guided unit test generation and refinement (IGTG&R) model. The IGTG&R model consists of a two-stage process for test generation. In the first stage, we introduce coverage path entropy to enhance CGTG to achieve high executability and code coverage of test cases. The second stage refines the test cases using LLMs to identify functional defects. We quantify and verify the interference of incorrect code implementation on intent analysis through conditional entropy. In order to reduce this interference, the focal method body is excluded from the code context information during intent analysis. Using these two-stage process, IGTG&R achieves a more profound comprehension of the intent of the code and the identification of functional defects. The IGTG&R model has been demonstrated to achieve an identification rate of functional defects ranging from 65% to 89%, with an execution success rate of 100% and a code coverage rate of 75.8%. This indicates that IGTG&R is superior to the CGTG and LLMTG approaches in multiple aspects.",Xiaojian Liu|Yangyang Zhang,2026,Entropy,String B,https://doi.org/10.3390/e28010074
35,A Logic-Guided and Explainable Approach to LLM-Based Unit Test Generation,"Large Language Models (LLMs) have demonstrated considerable potential in automated unit test generation; however, most existing approaches rely on a black-box paradigm that directly maps code under test to test code, often resulting in low compilation success rates, limited branch coverage, high assertion failure rates, and poor interpretability. Inspired by the human process of developing test cases, this paper proposes Logic-CoT, a white-box generation paradigm that follows a code under test–logical reasoning–test code workflow. The proposed approach consists of three stages: in the logical inference stage, logical node state vectors and execution paths are constructed from the control flow graph of the code under test, and input values and oracles satisfying state constraints are derived; in the test case construction stage, a template-based method is used to initialize test code conforming to the Arrange–Act–Assert pattern, with test intentions explicitly documented as comments; in the repair stage, syntactic errors and assertion failures are handled in a layered manner, where the former are corrected without altering test logic and the latter trigger logic reflection based on discrepancies between expected and actual outcomes, leading to state updates and test case reconstruction. This design forms a closed-loop process of reasoning, generation, and repair. Experiments on the QuixBugs, Apache Commons, HumanEval, and SV-COMP benchmarks show that Logic-CoT consistently outperforms state-of-the-art approaches such as ChatUniTest in terms of compilation success rate, runtime pass rate, assertion pass rate, branch coverage, average repair iterations for faulty code, and interpretability. Ablation studies further demonstrate that each component of Logic-CoT contributes effectively to improving the overall quality and effectiveness of generated test cases. These results indicate that Logic-CoT improves the reliability and interpretability of LLM-generated unit tests in practical software testing scenarios.",Cong Zeng|Meng Li|Liu Fei|Xia Yang|Jie Liu|Shiyu Yan,2026,Applied Sciences,String B,https://doi.org/10.3390/app16052542
36,Prompt engineering in LLMs for automated unit test generation: A large-scale study,"Unit testing is essential for software reliability, yet manual test creation is time-consuming and often neglected. Although search-based software testing improves efficiency, it produces tests with poor readability and maintainability. Although LLMs show promise for test generation, existing research lacks comprehensive evaluation across execution-driven assessment, reasoning-based prompting, and real-world testing scenarios. This study presents the first large-scale empirical evaluation of LLM-generated unit tests at the full class level, systematically analyzing four state-of-the-art models (GPT-3.5, GPT-4, Mistral 7B, and Mixtral 8x7B) against EvoSuite across 216,300 generated test cases targeting Defects4J, SF110, and CMD (a dataset mitigating LLM training data leakage). We evaluate five prompting techniques–Zero-Shot Learning (ZSL), Few-Shot Learning (FSL), Chain-of-Thought (CoT), Tree-of-Thought (ToT), and Guided Tree-of-Thought (GToT)–assessing syntactic correctness, compilability, hallucination-driven failures, readability, code coverage metrics, and test smells. Reasoning-based prompting particularly GToT significantly enhances test reliability, compilability, and structural adherence in general-purpose LLMs. However, hallucination-driven failures remain a persistent challenge, manifesting as non-existent symbol references, incorrect API calls, and fabricated dependencies, resulting in high compilation failure rates (up to 86%). Moreover, test smell analysis reveals that while LLM-generated tests are generally more readable than those produced by traditional tools, they still suffer from recurring design issues such as Magic Number Tests and Assertion Roulette, which hinder maintainability. Overall, our findings indicate that LLMs can serve as effective assistive tools for generating readable and maintainable test suites, but hybrid approaches that combine LLM-based generation with automated validation and search-based refinement are required to achieve reliable and production-ready test generation.",Wendkűuni C. Ouédraogo|Abdoul Kader Kaboré|Yinghua Li|Haoye Tian|Anil Koyuncu|Jacques Klein|David Lo|Tegawendé F. Bissyandé,2026,Empirical Software Engineering,String B,https://doi.org/10.1007/s10664-026-10840-4
37,AI-BASED AUTOMATION OF DECISION LOGIC REPRESENTATION: BRIDGING GAP IN AUTOMATED DECISION MODELING VALIDATION,"The study aims to resolve the ""modeling bottleneck"" in Business Process Management by developing an automated method for ensuring the correctness of Decision Model and Notation (DMN) tables generated by Large Language Models (LLMs). The primary goal is to determine whether shifting the AI's role from a pure generator to a validator within a closed-loop system can overcome the structural limitations inherent in stochastic models. The research employs a comparative experimental design using a ""Mutation Testing"" approach. We analyze two distinct workflows: (1) Static Generation, where test cases are fixed, and (2) Dynamic Paired Generation, where the LLM regenerates both the decision logic (DMN XML) and the validation criteria (Test Cases JSON) simultaneously upon failure. The methodology integrates concepts from ""Struc-Bench"" for structural analysis and utilizes a deterministic DMN engine (Camunda) for execution-based verification. The experiments demonstrate that ""out-of-the-box"" LLM generation fails in approximately 4.5% of cases due to semantic drift and structural hallucinations when validated against static benchmarks. However, the proposed ""Dynamic Paired Generation"" workflow achieved a 100% convergence rate across 200 cycles. The system successfully identified and corrected both syntactic errors (XML schema violations) and logical errors (Hit Policy violations) without human intervention. The study introduces the concept of ""Dynamic Paired Generation"" for neuro-symbolic systems. Unlike traditional ""Chain-of-Thought"" prompting, this approach leverages the mutual consistency between two independent structural representations (Logic and Examples) to filter out hallucinations, proving that dynamic validation is superior to static prompting for structured data tasks. The proposed framework provides a blueprint for ""Self-Healing"" decision management systems. It allows non-technical business analysts to convert natural language policies into executable, error-free DMN models, significantly reducing the time and cost of regulatory compliance and process automation.",Vladyslav Maliarenko,2025,Computer Systems and Information Technologies,String B,https://doi.org/10.31891/csit-2025-4-8
38,When Specifications Meet Reality: Uncovering API Inconsistencies in Ethereum Infrastructure,"The Ethereum ecosystem, which secures over $381 billion in assets, fundamentally relies on client APIs as the sole interface between users and the blockchain. However, these critical APIs suffer from widespread implementation inconsistencies, which can lead to financial discrepancies, degraded user experiences, and threats to network reliability. Despite this criticality, existing testing approaches remain manual and incomplete: they require extensive domain expertise, struggle to keep pace with Ethereum's rapid evolution, and fail to distinguish genuine bugs from acceptable implementation variations. We present APIDiffer, the first specification-guided differential testing framework designed to automatically detect API inconsistencies across Ethereum's diverse client ecosystem. APIDiffer transforms API specifications into comprehensive test suites through two key innovations: (1) specification-guided test input generation that creates both syntactically valid and invalid requests enriched with real-time blockchain data, and (2) specification-aware false positive filtering that leverages large language models to distinguish genuine bugs from acceptable variations. Our evaluation across all 11 major Ethereum clients reveals the pervasiveness of API bugs in production systems. APIDiffer uncovered 72 bugs, with 90.28% already confirmed or fixed by developers, including one critical error in the official specifications themselves. Beyond these raw numbers, APIDiffer achieves up to 89.67% higher code coverage than existing tools and reduces false positive rates by 37.38%. The Ethereum community's response validates our impact: developers have integrated our test cases, expressed interest in adopting our methodology, and escalated one bug to the official Ethereum Project Management meeting. By making APIDiffer open-source, we enable continuous validation of Ethereum client API implementations, thereby strengthening the foundational integrity of the entire Ethereum ecosystem.",Jie Ma|Ningyu He|Jinwen Xi|Mingzhe Xing|Liangxin Liu|Jiushenzi Luo|Xiaopeng Fu|Chiachih Wu|Haoyu Wang|Ying Gao|Yinliang Yue,2026,Proceedings of the ACM on Programming Languages,String B,https://doi.org/10.1145/3798219
39,Code-Aware Prompting: A Study of Coverage-Guided Test Generation in Regression Setting using LLM,,Gabriel Ryan|Siddhartha Jain|Mingyue Shang|Shiqi Wang|Xiaofei Ma|Murali Krishna Ramanathan|Baishakhi Ray,2024,Proceedings of the ACM on software engineering.,String C,https://doi.org/10.1145/3643769
40,Knowledge Transfer from High-Resource to Low-Resource Programming Languages for Code LLMs,"Over the past few years, Large Language Models of Code (Code LLMs) have started to have a significant impact on programming practice. Code LLMs are also emerging as building blocks for research in programming languages and software engineering. However, the quality of code produced by a Code LLM varies significantly by programming language. Code LLMs produce impressive results on high-resource programming languages that are well represented in their training data (e.g., Java, Python, or JavaScript), but struggle with low-resource languages that have limited training data available (e.g., OCaml, Racket, and several others). This paper presents an effective approach for boosting the performance of Code LLMs on low-resource languages using semi-synthetic data. Our approach, called M ulti PL-T, generates high-quality datasets for low-resource languages, which can then be used to fine-tune any pretrained Code LLM. M ulti PL-T translates training data from high-resource languages into training data for low-resource languages in the following way. 1) We use a Code LLM to synthesize unit tests for commented code from a high-resource source language, filtering out faulty tests and code with low test coverage. 2) We use a Code LLM to translate the code from the high-resource source language to a target low-resource language. This gives us a corpus of candidate training data in the target language, but many of these translations are wrong. 3) We use a lightweight compiler to compile the test cases generated in (1) from the source language to the target language, which allows us to filter our obviously wrong translations. The result is a training corpus in the target low-resource language where all items have been validated with test cases. We apply this approach to generate tens of thousands of new, validated training items for five low-resource languages: Julia, Lua, OCaml, R, and Racket, using Python as the source high-resource language. Furthermore, we use an open Code LLM (StarCoderBase) with open training data (The Stack), which allows us to decontaminate benchmarks, train models without violating licenses, and run experiments that could not otherwise be done. Using datasets generated with M ulti PL-T, we present fine-tuned versions of StarCoderBase and Code Llama for Julia, Lua, OCaml, R, and Racket that outperform other fine-tunes of these base models on the natural language to code task. We also present Racket fine-tunes for two very recent models, DeepSeek Coder and StarCoder2, to show that M ulti PL-T continues to outperform other fine-tuning approaches for low-resource languages. The M ulti PL-T approach is easy to apply to new languages, and is significantly more efficient and effective than alternatives such as training longer.",Federico Cassano|John Gouwar|Francesca Lucchetti|Claire Schlesinger|Anders Freeman|Carolyn Jane Anderson|Molly Q Feldman|Michael Greenberg|Abhinav Jangda|Arjun Guha,2024,Proceedings of the ACM on Programming Languages,String C,https://doi.org/10.1145/3689735
41,CoverUp: Effective High Coverage Test Generation for Python,,Juan Altmayer Pizzorno|Emery D. Berger,2025,Proceedings of the ACM on software engineering.,String C,https://doi.org/10.1145/3729398
42,Generate High-Coverage Unit Test Data Using the LLM Tool,"Unit testing is a critical phase in the software development lifecycle, essential for ensuring the quality and reliability of code. However, the manual creation of unit test scripts and the preparation of corresponding test data can be a time consuming and labor intensive process. To address these challenges, several automated approaches have been explored, including search based, constraint based, random-based, and symbolic execution based techniques for generating unit tests. In recent years, the rapid advancement of large language models (LLMs) has opened new avenues for automating various tasks, including the automatic generation of unit test scripts and test data. Despite their potential, using LLMs in a straightforward manner to generate unit tests may lead to low test coverage. This means that a significant portion of the source code, including specific statements or branches, may remain untested, which can reduce the effectiveness of the tests. To overcome this limitation, the paper presents a novel approach that not only automates the generation of unit test scripts and test data but also improves test coverage. The proposed solution begins by using an LLM tool (such as ChatGPT) to generate initial unit test scripts and data from the source code. To enhance test coverage, the specification document of the source code is also input into the LLM to generate additional test data. Following this, a coverage checking tool is used to evaluate the test coverage and identify untested statements or branches. The LLM is then applied again to generate new test data aimed specifically at addressing these gaps. The initial experimental results indicate that this method significantly improves test coverage, demonstrating its potential to enhance automated unit testing processes.",Ngoc Thi Bich Do|Chi Quynh Nguyen,2024,International Journal of Innovative Technology and Exploring Engineering,String C,https://doi.org/10.35940/ijitee.l9996.13121124
43,IntelliUnitGen: A Unit Test Case Generation Framework Based on the Integration of Static Analysis and Prompt Learning,"Test case generation is a critical research topic in the field of automated software engineering. In recent years, with the rapid advancement of large language models (LLMs) such as the GPT series, LLaMA series, and DeepSeek series, both domestic and international researchers have attempted to leverage prompt learning capabilities of LLMs for automated test case generation and have achieved promising results. However, most existing approaches rely solely on the language model's ability to respond to natural language prompts, while neglecting systematic analysis of static features within source code. These methods often fail to apply traditional static analysis techniques to extract structural and semantic information from the source code, resulting in incomplete generation, omission of key elements, or semantic misinterpretation. To address these limitations, this paper proposes IntelliUnitGen — an intelligent unit test case generation framework that integrates static analysis with prompt learning. This framework aims to combine the advantages of traditional static analysis techniques with the cutting-edge capabilities of LLMs to enhance the automation level and quality of unit test case generation. IntelliUnitGen synthesizes static code features extracted via static analysis into structured, task-relevant prompts for the language model. It adopts a chain-of-thought prompting strategy to guide the LLM in generating rigorous and comprehensive test cases. The overall workflow of the proposed framework is presented, followed by a detailed introduction to its key techniques and implementation details. An illustrative example is provided to intuitively demonstrate the test case generation process of the framework, and experimental validation is conducted on three open-source projects. Experimental results show that IntelliUnitGen significantly outperforms traditional (non-LLM-based) tools and LLM-only prompt learning approaches in metrics such as coverage, generalizability, and compilability & executability, achieving state-of-the-art (SOTA) performance. This study demonstrates the potential of integrating static code analysis with prompt learning to improve not only unit test case generation but also other source code processing tasks, potentially overcoming existing limitations of LLMs in software engineering applications. This framework demonstrates a practical step forward in addressing long-standing challenges in automated software testing.",Zhuoying Yang|Lei Wang,2025,IEEE Access,String C,https://doi.org/10.1109/access.2025.3615990
44,Advancing Code Coverage: Incorporating Program Analysis with Large Language Models,,Chen Yang|Junjie Chen|Bin Lin|Ziqi Wang|Jianyi Zhou,2025,ACM Transactions on Software Engineering and Methodology,String C,https://doi.org/10.1145/3748505
45,Program Interoperable Large Language Model Software Testing Scheme: A Case Study on JavaScript Engine Fuzzing,,Daipeng Cao|Yang Hong|Qianqian Pan|Jun Wu,2025,IEEE Transactions on Dependable and Secure Computing,String C,https://doi.org/10.1109/tdsc.2025.3581213
46,Mokav: Execution-driven differential testing with LLMs,"It is essential to detect functional differences between programs in various software engineering tasks, such as automated program repair, mutation testing, and code refactoring. The problem of detecting functional differences between two programs can be reduced to searching for a difference exposing test (DET): a test input that results in different outputs on the subject programs. In this paper, we propose Mokav , a novel execution-driven tool that leverages LLMs to generate DETs. Mokav takes two versions of a program (P and Q) and an example test input. When successful, Mokav generates a valid DET, a test input that leads to provably different outputs on P and Q. Mokav iteratively prompts an LLM with a specialized prompt to generate new test inputs. At each iteration, Mokav provides execution-based feedback from previously generated tests until the LLM produces a DET. We evaluate Mokav on 1535 pairs of Python programs collected from the Codeforces competition platform and 32 pairs of programs from the QuixBugs dataset. Our experiments show that Mokav outperforms the state-of-the-art, Pynguin and Differential Prompting, by a large margin. Mokav can generate DETs for 81.7% (1,255/1535) of the program pairs in our benchmark (versus 4.9% for Pynguin and 37.3% for Differential Prompting). We demonstrate that the iterative and execution-driven feedback components of the system contribute to its high effectiveness. • Mokav is the first LLM-based tool for difference exposing test generation • C4DET is a curated dataset of 1,535 pair of programs with small semantic differences. • The iterative execution-driven approach of Mokav outperforms state-of-the-art in differential testing • An example test that guides the LLM about input structure significantly improves the effectiveness.",Khashayar Etemadi|Bardia Mohammadi|Zhendong Su|Martin Monperrus,2025,Journal of Systems and Software,String C,https://doi.org/10.1016/j.jss.2025.112571
47,REACCEPT: Automated Co-evolution of Production and Test Code Based on Dynamic Validation and Large Language Models,,Jianlei Chi|Xiaotian Wang|Yuhan Huang|Lechen Yu|Di Cui|Sun Jian-guo|Jun Sun,2025,Proceedings of the ACM on software engineering.,String C,https://doi.org/10.1145/3728930
48,Enhancing Automated Unit Test Generation with Large Language Models: A Systematic Literature Review,,Junwei Zhang|Xing Hu|Cuiyun Gao|Xin Xia|Shanping Li,2026,ACM Transactions on Software Engineering and Methodology,String C,https://doi.org/10.1145/3802827
49,Automated Software Testing Using Generative Ai And Large Language Models,"Automated software testing is a cornerstone of modern software engineering, yet traditional approaches struggle to keep pace with the complexity and rapid evolution of contemporary applications. This paper investigates the integration of generative artificial intelligence (AI) and large language models (LLMs) into automated software testing workflows. We review the state of the art in AI-driven test case generation, test script maintenance, and defect prediction, highlighting how generative models can analyze source code, requirements, and user behavior to produce comprehensive and adaptive test suites. Our study synthesizes recent research and industry case studies, demonstrating that generative AI and LLMs significantly enhance test coverage, reduce manual effort, and accelerate release cycles. However, challenges remain in model interpretability, data quality, and resource requirements. We discuss these limitations and propose future research directions, including explainable AI for testing and domain-specific model adaptation. The findings indicate that the synergy between human expertise and intelligent automation is essential for ensuring software reliability in increasingly complex environments. This work provides a comprehensive overview for researchers and practitioners seeking to leverage generative AI and LLMs in software testing",Kamalraj Subramaniam|Dr.R. Raja Prabu|B. GOMATHI NAYAGAM -|L. Anitha,2025,International Journal For Multidisciplinary Research,String C,https://doi.org/10.36948/ijfmr.2025.v07i04.52575
50,On the Challenges and Opportunities of Fuzzing via Large Language Models: A Review,"Fuzzing is an important automated testing technique for discovering vulnerabilities and abnormal software behavior, but conventional and pre-LLM learning-based approaches often struggle with strict validity constraints, limited semantic understanding, and poor adaptability across targets. Recent advances in large language models (LLMs) create new opportunities for fuzzing by supplying semantic guidance from source code, documentation, traces, and execution feedback. As the literature on LLM-based fuzzing has grown rapidly, a systematic synthesis is needed. This paper presents a literature review on the integration of LLMs into fuzzing workflows. We review how LLMs are applied across the fuzzing workflow, compare these approaches with earlier deep learning-based fuzzing, and summarize the main patterns in task coverage, application strategies, targets, testing modes, and model choices. The survey shows that current work is concentrated in test case generation, while defect detection and post-processing remain less represented, and broader workflow integration is uneven. Based on these findings, we identify four main directions for future research as follows: broader coverage of the fuzzing workflow, stronger context construction and workflow engineering, richer reasoning for fuzzing control, and shared evaluation standards and benchmarks.",Yiqing Sun|Villads H. Andersen|Gaurav Choudhary|Nicola Dragoni,2026,Applied Sciences,String C,https://doi.org/10.3390/app16105160
51,Transforming Software Quality Assurance: A Systematic Review of AI-Driven Testing Innovations,"Artificial intelligence technologies are fundamentally reshaping software testing practices across the industry, yielding significant improvements in efficiency, effectiveness, and test coverage. Large Language Models now demonstrate remarkable capabilities in automatically generating comprehensive test suites directly from natural language requirements and source code, while computer vision algorithms enable more accurate detection of visual regressions with reduced false positives. Concurrently, advanced anomaly detection systems leverage machine learning to identify potential quality issues through log analysis and performance metric evaluation before end-users experience failures. The integration of reinforcement learning techniques for test case prioritization within continuous integration pipelines has dramatically reduced feedback cycles while maintaining defect detection rates. These technological advancements collectively represent a paradigm shift in quality assurance, enabling testing teams to achieve greater coverage with fewer resources while adapting to increasingly complex software architectures and accelerated delivery timelines. The evidence suggests these AI-driven innovations will continue to evolve, potentially transforming the role of human testers toward higher-value activities while algorithms handle repetitive testing tasks.",Prem Sai Reddy Kareti,2025,Technix International Journal for Engineering Research,String C,https://doi.org/10.56975/tijer.v12i6.158253
