pilot_id,repository,class_fqn,class_path,project_root,selected_from_full_sample,backup_rank,precheck_status,replacement_of
P01,35126599,InsertOrReplaceImpl,sqlitebuilder/src/main/java/com/nhaarman/sqlitebuilder/impl/InsertOrReplaceImpl.java,repos/35126599,S001,0,PENDING,
P02,35126599,SelectFromImpl,sqlitebuilder/src/main/java/com/nhaarman/sqlitebuilder/impl/SelectFromImpl.java,repos/35126599,S008,0,PENDING,
P03,36297446,ServiceBeanInstance,astrix-context/src/main/java/com/avanza/astrix/beans/service/ServiceBeanInstance.java,repos/36297446,S013,0,PENDING,
P04,36297446,DropwizardMetrics,astrix-metrics/src/main/java/com/avanza/astrix/metrics/DropwizardMetrics.java,repos/36297446,S016,0,PENDING,
P05,36483902,CoreQueryManager,heroic-core/src/main/java/com/spotify/heroic/CoreQueryManager.java,repos/36483902,S030,0,PENDING,
P06,36483902,Slf4jQueryLogger,heroic-core/src/main/java/com/spotify/heroic/querylogging/Slf4jQueryLogger.java,repos/36483902,S032,0,PENDING,
P07,36873773,BaseHtmlWebView,mopub-sdk/src/main/java/com/mopub/mobileads/BaseHtmlWebView.java,repos/36873773,S038,0,PENDING,
P08,36873773,MoPubNativeAdRenderer,mopub-sdk/src/main/java/com/mopub/nativeads/MoPubNativeAdRenderer.java,repos/36873773,S042,0,PENDING,
P09,3699746,OsgiDefaultProducer,component/src/main/java/org/apache/camel/osgi/service/OsgiDefaultProducer.java,repos/3699746,S050,0,PENDING,
P10,3699746,DynamicCollection,component/src/main/java/org/apache/camel/osgi/service/util/DynamicCollection.java,repos/3699746,S051,0,PENDING,
P11,41767364,SpanContextFactory,sdk/core/src/main/java/com/google/cloud/trace/core/SpanContextFactory.java,repos/41767364,S065,0,PENDING,
P12,41767364,RateLimitingTraceOptionsFactory,sdk/core/src/main/java/com/google/cloud/trace/core/RateLimitingTraceOptionsFactory.java,repos/41767364,S068,0,PENDING,
P13,42171410,EBDump,eb4j-tools/src/main/java/io/github/eb4j/tool/EBDump.java,repos/42171410,S074,0,PENDING,
P14,42171410,HuffmanNode,eb4j-core/src/main/java/io/github/eb4j/io/HuffmanNode.java,repos/42171410,S078,0,PENDING,
P15,42691991,NCMBRoleService,ncmb-core/src/main/java/com/nifcloud/mbaas/core/NCMBRoleService.java,repos/42691991,S087,0,PENDING,
P16,42691991,NCMBConnection,ncmb-core/src/main/java/com/nifcloud/mbaas/core/NCMBConnection.java,repos/42691991,S090,0,PENDING,
P17,43326581,ListMatcher,backend/src/src-cvesearch/src/main/java/org/eclipse/sw360/cvesearch/datasource/matcher/ListMatcher.java,repos/43326581,S098,0,PENDING,
P18,43326581,ProjectDatabaseHandler,backend/src-common/src/main/java/org/eclipse/sw360/datahandler/db/ProjectDatabaseHandler.java,repos/43326581,S104,0,PENDING,
P19,45721011,EndpointGroupingRuleReader,oap-server/server-core/src/main/java/org/apache/skywalking/oap/server/core/config/group/EndpointGroupingRuleReader.java,repos/45721011,S113,0,PENDING,
P20,45721011,ClusterModuleZookeeperProvider,oap-server/server-cluster-plugin/cluster-zookeeper-plugin/src/main/java/org/apache/skywalking/oap/server/cluster/plugin/zookeeper/ClusterModuleZookeeperProvider.java,repos/45721011,S114,0,PENDING,
P21,46847195,Plugin,search-mybatis-mybatis/src/main/java/org/apache/ibatis/plugin/Plugin.java,repos/46847195,S124,0,PENDING,
P22,46847195,CacheKey,search-mybatis-mybatis/src/main/java/org/apache/ibatis/cache/CacheKey.java,repos/46847195,S126,0,PENDING,
P23,49961489,DoubleClickMatchRequest,open-bidder-master/open-bidder-exchange-doubleclick/src/main/java/com/google/openbidder/exchange/doubleclick/match/DoubleClickMatchRequest.java,repos/49961489,S136,0,PENDING,
P24,49961489,DoubleClickBidRequestReceiver,open-bidder-master/open-bidder-exchange-doubleclick/src/main/java/com/google/openbidder/exchange/doubleclick/server/DoubleClickBidRequestReceiver.java,repos/49961489,S142,0,PENDING,
P25,5175291,PublicKey,airship-coordinator/src/main/java/io/airlift/airship/coordinator/auth/PublicKey.java,repos/5175291,S147,0,PENDING,
P26,5175291,AgentFilterBuilder,airship-coordinator/src/main/java/io/airlift/airship/coordinator/AgentFilterBuilder.java,repos/5175291,S148,0,PENDING,
P27,51858172,HystrixMetricsService,modules/metrics/src/main/java/com/intuit/autumn/metrics/HystrixMetricsService.java,repos/51858172,S159,0,PENDING,
P28,51858172,Resource,modules/view/src/main/java/com/intuit/autumn/view/Resource.java,repos/51858172,S160,0,PENDING,
P29,52040340,GradleResolver,core/bootstrap/src/main/java/org/wildfly/swarm/bootstrap/modules/GradleResolver.java,repos/52040340,S171,0,PENDING,
P30,52040340,MavenArtifactDescriptor,core/bootstrap/src/main/java/org/wildfly/swarm/bootstrap/util/MavenArtifactDescriptor.java,repos/52040340,S175,0,PENDING,
P31,52972024,Pool,CoreFeatures/Base/Pool/src/main/java/info/smart_tools/smartactors/base/pool/Pool.java,repos/52972024,S182,0,PENDING,
P32,52972024,FieldName,CoreFeatures/IObject/FieldName/src/main/java/info/smart_tools/smartactors/iobject/field_name/FieldName.java,repos/52972024,S183,0,PENDING,
P33,5455433,ModifyConnectionCommand,control/mgcp/src/main/java/org/restcomm/media/core/control/mgcp/command/ModifyConnectionCommand.java,repos/5455433,S194,0,PENDING,
P34,5455433,DirectNetworkGuard,network/src/main/java/org/restcomm/media/core/network/netty/filter/DirectNetworkGuard.java,repos/5455433,S199,0,PENDING,
P35,5793738,ToTaskCompletedConverter,activiti-core/activiti-api-impl/activiti-api-task-runtime-impl/src/main/java/org/activiti/runtime/api/event/impl/ToTaskCompletedConverter.java,repos/5793738,S206,0,PENDING,
P36,5793738,ApplicationService,activiti-core-common/activiti-spring-application/src/main/java/org/activiti/application/ApplicationService.java,repos/5793738,S213,0,PENDING,
P37,58194180,JvmOptions,api/src/main/java/io/strimzi/api/kafka/model/JvmOptions.java,repos/58194180,S219,0,PENDING,
P38,58194180,Labels,topic-operator/src/main/java/io/strimzi/operator/topic/Labels.java,repos/58194180,S224,0,PENDING,
P39,65144978,Subject,learning-demo/src/main/java/com/tangcheng/learning/eventbus/Subject.java,repos/65144978,S230,0,PENDING,
P40,65144978,VisitCounter,learning-demo/src/main/java/com/tangcheng/learning/concurrent/VisitCounter.java,repos/65144978,S234,0,PENDING,
P41,74458764,HttpRequestWrapper,session-replacement/src/main/java/com/amadeus/session/servlet/HttpRequestWrapper.java,repos/74458764,S242,0,PENDING,
P42,74458764,InMemoryRepository,session-replacement/src/main/java/com/amadeus/session/repository/inmemory/InMemoryRepository.java,repos/74458764,S249,0,PENDING,
P43,74581177,OutputLanguageBase,core/src/main/java/com/bbva/kltt/apirest/core/generator/output/language/OutputLanguageBase.java,repos/74581177,S260,0,PENDING,
P44,74581177,PathOpHead,core/src/main/java/com/bbva/kltt/apirest/core/parsed_info/paths/PathOpHead.java,repos/74581177,S262,0,PENDING,
P45,74616657,HBaseRepositoryManager,sail/src/main/java/com/msd/gin/halyard/sail/HBaseRepositoryManager.java,repos/74616657,S266,0,PENDING,
P46,74616657,NDJSONLDParser,rio/src/main/java/com/msd/gin/halyard/rio/NDJSONLDParser.java,repos/74616657,S272,0,PENDING,
P47,77385607,GeoToWktConverter,janusgraph-solr/src/main/java/org/janusgraph/diskstorage/solr/transform/GeoToWktConverter.java,repos/77385607,S282,0,PENDING,
P48,77385607,JanusGraphApp,janusgraph-examples/example-common/src/main/java/org/janusgraph/example/JanusGraphApp.java,repos/77385607,S285,0,PENDING,
P49,84750226,RestClientMetadata,iextrading4j-client/src/main/java/pl/zankowski/iextrading4j/client/rest/manager/RestClientMetadata.java,repos/84750226,S292,0,PENDING,
P50,84750226,SystemEventRequestBuilder,iextrading4j-client/src/main/java/pl/zankowski/iextrading4j/client/rest/request/marketdata/SystemEventRequestBuilder.java,repos/84750226,S296,0,PENDING,
P51,90043355,DMatrixQrd,core/src/main/java/edu/mines/jtk/lapack/DMatrixQrd.java,repos/90043355,S303,0,PENDING,
P52,90043355,ScalarSolver,core/src/main/java/edu/mines/jtk/opt/ScalarSolver.java,repos/90043355,S305,0,PENDING,
P53,9248683,SimplePropertyResolver,seeking-core/src/main/java/com/eharmony/matching/seeking/translator/SimplePropertyResolver.java,repos/9248683,S316,0,PENDING,
P54,9248683,ProjectedResultMapper,seeking-core/src/main/java/com/eharmony/matching/seeking/mapper/ProjectedResultMapper.java,repos/9248683,S322,0,PENDING,
P55,96973263,UrlUtils,components/utils/urlutils/src/main/java/org/mozilla/urlutils/UrlUtils.java,repos/96973263,S327,0,PENDING,
P56,96973263,Locales,app/src/main/java/org/mozilla/focus/locale/Locales.java,repos/96973263,S332,0,PENDING,
P57,9713275,CompareHammingDistance,core/src/main/java/com/github/dozedoff/similarImage/duplicate/CompareHammingDistance.java,repos/9713275,S341,0,PENDING,
P58,9713275,ImageFindJobVisitor,core/src/main/java/com/github/dozedoff/similarImage/thread/ImageFindJobVisitor.java,repos/9713275,S342,0,PENDING,
P59,9836833,Roles,restx-security-basic/src/main/java/restx/security/Roles.java,repos/9836833,S354,0,PENDING,
P60,9836833,CompilationManager,restx-classloader/src/main/java/restx/classloader/CompilationManager.java,repos/9836833,S356,0,PENDING,
